case_id,t_fips,p_name,p_year,t_cap,,,,,,,
3003979,6065,Mesa Wind Farm,1983,65,,,,,,,
3001924,6065,Mesa Wind Farm,1983,65,,,,,,,
3009037,6065,Mesa Wind Farm,1983,65,,,,,,,
3001293,6065,Mesa Wind Farm,1983,65,,,,,,,
3002694,6065,Mesa Wind Farm,1983,65,,,,,,,
3002084,6065,Mesa Wind Farm,1983,65,,,,,,,
3005248,6065,Mesa Wind Farm,1983,65,,,,,,,
3000039,6065,Mesa Wind Farm,1983,65,,,,,,,
3005001,6065,Mesa Wind Farm,1983,65,,,,,,,
3006829,6065,Mesa Wind Farm,1983,65,,,,,,,
3005500,6065,Mesa Wind Farm,1983,65,,,,,,,
3007944,6065,Mesa Wind Farm,1983,65,,,,,,,
3009795,6065,Mesa Wind Farm,1983,65,,,,,,,
3009086,6065,Mesa Wind Farm,1983,65,,,,,,,
3004568,6065,Mesa Wind Farm,1983,65,,,,,,,
3006786,6065,Mesa Wind Farm,1983,65,,,,,,,
3001679,6065,Mesa Wind Farm,1983,65,,,,,,,
3009504,6065,Mesa Wind Farm,1983,65,,,,,,,
3000945,6065,Mesa Wind Farm,1983,65,,,,,,,
3010820,6065,Mesa Wind Farm,1983,65,,,,,,,
3009350,6065,Mesa Wind Farm,1983,65,,,,,,,
3003046,6065,Mesa Wind Farm,1983,65,,,,,,,
3004092,6065,Mesa Wind Farm,1983,65,,,,,,,
3008651,6065,Mesa Wind Farm,1983,65,,,,,,,
3006386,6065,Mesa Wind Farm,1983,65,,,,,,,
3008638,6065,Mesa Wind Farm,1983,65,,,,,,,
3001583,6065,Mesa Wind Farm,1983,65,,,,,,,
3008529,6065,Mesa Wind Farm,1983,65,,,,,,,
3009793,6065,Mesa Wind Farm,1983,65,,,,,,,
3006448,6065,Mesa Wind Farm,1983,65,,,,,,,
3008308,6065,Mesa Wind Farm,1983,65,,,,,,,
3000529,6065,Mesa Wind Farm,1983,65,,,,,,,
3010508,6065,Mesa Wind Farm,1983,65,,,,,,,
3002622,6065,Mesa Wind Farm,1983,65,,,,,,,
3008404,6065,Mesa Wind Farm,1983,65,,,,,,,
3003917,6065,Mesa Wind Farm,1983,65,,,,,,,
3002462,6065,Mesa Wind Farm,1983,65,,,,,,,
3005833,6065,Mesa Wind Farm,1983,65,,,,,,,
3010648,6065,Mesa Wind Farm,1983,65,,,,,,,
3010280,6065,Mesa Wind Farm,1983,65,,,,,,,
3000794,6065,Mesa Wind Farm,1983,65,,,,,,,
3006718,6065,Mesa Wind Farm,1983,65,,,,,,,
3005520,6065,Mesa Wind Farm,1983,65,,,,,,,
3008793,6065,Mesa Wind Farm,1983,65,,,,,,,
3001050,6065,Mesa Wind Farm,1983,65,,,,,,,
3007045,6065,Mesa Wind Farm,1983,65,,,,,,,
3007720,6065,Mesa Wind Farm,1983,65,,,,,,,
3004974,6065,Mesa Wind Farm,1983,65,,,,,,,
3002439,6065,Mesa Wind Farm,1983,65,,,,,,,
3006855,6065,Mesa Wind Farm,1983,65,,,,,,,
3007000,6065,Mesa Wind Farm,1983,65,,,,,,,
3003966,6065,Mesa Wind Farm,1983,65,,,,,,,
3002640,6065,Mesa Wind Farm,1983,65,,,,,,,
3004535,6065,Mesa Wind Farm,1983,65,,,,,,,
3002093,6065,Mesa Wind Farm,1983,65,,,,,,,
3007710,6065,Mesa Wind Farm,1983,65,,,,,,,
3000159,6065,Mesa Wind Farm,1983,65,,,,,,,
3005798,6065,Mesa Wind Farm,1983,65,,,,,,,
3006069,6065,Mesa Wind Farm,1983,65,,,,,,,
3010877,6065,Mesa Wind Farm,1983,65,,,,,,,
3002110,6065,Mesa Wind Farm,1983,65,,,,,,,
3001844,6065,Mesa Wind Farm,1983,65,,,,,,,
3000770,6065,Mesa Wind Farm,1983,65,,,,,,,
3001159,6065,Mesa Wind Farm,1983,65,,,,,,,
3006378,6065,Mesa Wind Farm,1983,65,,,,,,,
3004079,6065,Mesa Wind Farm,1983,65,,,,,,,
3008133,6065,Mesa Wind Farm,1983,65,,,,,,,
3000833,6065,Mesa Wind Farm,1983,65,,,,,,,
3009733,6065,Mesa Wind Farm,1983,65,,,,,,,
3000767,6065,Mesa Wind Farm,1983,65,,,,,,,
3005996,6065,Mesa Wind Farm,1983,65,,,,,,,
3006152,6065,Mesa Wind Farm,1983,65,,,,,,,
3002736,6065,Mesa Wind Farm,1983,65,,,,,,,
3008072,6065,Mesa Wind Farm,1983,65,,,,,,,
3008634,6065,Mesa Wind Farm,1983,65,,,,,,,
3004615,6065,Mesa Wind Farm,1983,65,,,,,,,
3006066,6065,Mesa Wind Farm,1983,65,,,,,,,
3008127,6065,Mesa Wind Farm,1983,65,,,,,,,
3004935,6065,Mesa Wind Farm,1983,65,,,,,,,
3004516,6065,Mesa Wind Farm,1983,65,,,,,,,
3001023,6065,Mesa Wind Farm,1983,65,,,,,,,
3001040,6065,Mesa Wind Farm,1983,65,,,,,,,
3007275,6065,Mesa Wind Farm,1983,65,,,,,,,
3002549,6065,Mesa Wind Farm,1983,65,,,,,,,
3001719,6065,Mesa Wind Farm,1983,65,,,,,,,
3002669,6065,Mesa Wind Farm,1983,65,,,,,,,
3000590,6065,Mesa Wind Farm,1983,65,,,,,,,
3010914,6065,Mesa Wind Farm,1983,65,,,,,,,
3007278,6065,Mesa Wind Farm,1983,65,,,,,,,
3001361,6065,Mesa Wind Farm,1983,65,,,,,,,
3006551,6065,Mesa Wind Farm,1983,65,,,,,,,
3009742,6065,Mesa Wind Farm,1983,65,,,,,,,
3005141,6065,Mesa Wind Farm,1983,65,,,,,,,
3008402,6065,Mesa Wind Farm,1983,65,,,,,,,
3010752,6065,Mesa Wind Farm,1983,65,,,,,,,
3006799,6065,Mesa Wind Farm,1983,65,,,,,,,
3011129,6065,Mesa Wind Farm,1983,65,,,,,,,
3011336,6065,Mesa Wind Farm,1983,65,,,,,,,
3000055,6065,Mesa Wind Farm,1983,65,,,,,,,
3007390,6065,Mesa Wind Farm,1983,65,,,,,,,
3002001,6065,Mesa Wind Farm,1983,65,,,,,,,
3008920,6065,Mesa Wind Farm,1983,65,,,,,,,
3008377,6065,Mesa Wind Farm,1983,65,,,,,,,
3002020,6065,Mesa Wind Farm,1983,65,,,,,,,
3010693,6065,Mesa Wind Farm,1983,65,,,,,,,
3006724,6065,Mesa Wind Farm,1983,65,,,,,,,
3006317,6065,Mesa Wind Farm,1983,65,,,,,,,
3006518,6065,Mesa Wind Farm,1983,65,,,,,,,
3002609,6065,Mesa Wind Farm,1983,65,,,,,,,
3001674,6065,Mesa Wind Farm,1983,65,,,,,,,
3004551,6065,Mesa Wind Farm,1983,65,,,,,,,
3001284,6065,Mesa Wind Farm,1983,65,,,,,,,
3003747,6065,Mesa Wind Farm,1983,65,,,,,,,
3009440,6065,Mesa Wind Farm,1983,65,,,,,,,
3001065,6065,Mesa Wind Farm,1983,65,,,,,,,
3002221,6065,Mesa Wind Farm,1983,65,,,,,,,
3000629,6065,Mesa Wind Farm,1983,65,,,,,,,
3003723,6065,Mesa Wind Farm,1983,65,,,,,,,
3010259,6065,Mesa Wind Farm,1983,65,,,,,,,
3008630,6065,Mesa Wind Farm,1983,65,,,,,,,
3007523,6065,Mesa Wind Farm,1983,65,,,,,,,
3000653,6065,Mesa Wind Farm,1983,65,,,,,,,
3007884,6065,Mesa Wind Farm,1983,65,,,,,,,
3008928,6065,Mesa Wind Farm,1983,65,,,,,,,
3005638,6065,Mesa Wind Farm,1983,65,,,,,,,
3004656,6065,Mesa Wind Farm,1983,65,,,,,,,
3008666,6065,Mesa Wind Farm,1983,65,,,,,,,
3001603,6065,Mesa Wind Farm,1983,65,,,,,,,
3002184,6065,Mesa Wind Farm,1983,65,,,,,,,
3005349,6065,Mesa Wind Farm,1983,65,,,,,,,
3007287,6065,Mesa Wind Farm,1983,65,,,,,,,
3001175,6065,Mesa Wind Farm,1983,65,,,,,,,
3002222,6065,Mesa Wind Farm,1983,65,,,,,,,
3005708,6065,Mesa Wind Farm,1983,65,,,,,,,
3008179,6065,Mesa Wind Farm,1983,65,,,,,,,
3011163,6065,Mesa Wind Farm,1983,65,,,,,,,
3009485,6065,Mesa Wind Farm,1983,65,,,,,,,
3003260,6065,Mesa Wind Farm,1983,65,,,,,,,
3001066,6065,Mesa Wind Farm,1983,65,,,,,,,
3009883,6065,Mesa Wind Farm,1983,65,,,,,,,
3008307,6065,Mesa Wind Farm,1983,65,,,,,,,
3010506,6065,Mesa Wind Farm,1983,65,,,,,,,
3000358,6065,Mesa Wind Farm,1983,65,,,,,,,
